2024-08-18 20:31:45,810 - data_preparation - INFO - Total number of files: 12126
2024-08-18 20:31:45,810 - data_preparation - INFO - Using subset of 121 files
2024-08-18 20:31:45,811 - data_preparation - INFO - Training set size: 96
2024-08-18 20:31:45,811 - data_preparation - INFO - Validation set size: 25
2024-08-18 20:31:46,672 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,672 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,672 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,672 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,672 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,672 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Clean phase range: [-3.1371, 3.1416]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Clean phase range: [-3.1406, 3.1416]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Clean phase range: [-3.1396, 3.1416]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Clean phase range: [-3.1398, 3.1416]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Clean phase range: [-3.1382, 3.1416]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Noisy phase range: [-3.1377, 3.1416]
2024-08-18 20:31:46,673 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,674 - data_preparation - DEBUG - Noisy phase range: [-3.1403, 3.1416]
2024-08-18 20:31:46,674 - data_preparation - DEBUG - Noisy phase range: [-3.1383, 3.1416]
2024-08-18 20:31:46,674 - data_preparation - DEBUG - Noisy phase range: [-3.1400, 3.1416]
2024-08-18 20:31:46,674 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,674 - data_preparation - DEBUG - Noisy phase range: [-3.1366, 3.1416]
2024-08-18 20:31:46,675 - data_preparation - DEBUG - Clean phase range: [-3.1405, 3.1416]
